text,entity_types,entities_json
"piscine 320 m2 gypse, décontamination, budget 40000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Piscine"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""320 m2"", ""ACTIVITE_SPECIALE"": ""D\u00e9contamination"", ""BUDGET"": ""40000 euros""}"
"inox pour plomberie (330 m²), traitement humidité requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Inox"", ""SURFACE"": ""330 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9""}"
"Nous proposons isolation 310m2, matériau ardoise, avec éclairage led","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""310m2"", ""ACTIVITE_SPECIALE"": ""\u00c9clairage Led""}"
"piscine 230m2 carrelage, équipe de 3 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Piscine"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""230m2"", ""NB_OUVRIERS"": ""3 personnes""}"
"démolition : 230m2 en brique, coût estimé 70000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""230m2"", ""BUDGET"": ""70000\u20ac""}"
"maçonnerie 310 m2 béton, équipe de équipe de 5","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""MATERIAU"": ""B\u00e9ton"", ""SURFACE"": ""310 m2"", ""NB_OUVRIERS"": ""\u00e9quipe de 5""}"
"électricité 40m2 pvc, étanchéité, budget 65000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""40m2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9"", ""BUDGET"": ""65000\u20ac""}"
"toiture 150 m² pvc, équipe de 3 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Toiture"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""150 m\u00b2"", ""NB_OUVRIERS"": ""3 personnes""}"
"plâtre pour menuiserie (330m²), étanchéité requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""MATERIAU"": ""Pl\u00e2tre"", ""SURFACE"": ""330m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9""}"
"Nous proposons gutter 20m2, matériau brique, avec éclairage led","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Gutter"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""20m2"", ""ACTIVITE_SPECIALE"": ""\u00c9clairage Led""}"
menuiserie 180m2 tôle,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""MATERIAU"": ""T\u00f4le"", ""SURFACE"": ""180m2""}"
"revêtement 80 m² pierre, traitement humidité, budget 35000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Rev\u00eatement"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""80 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9"", ""BUDGET"": ""35000 euros""}"
"maçonnerie 460m2, durée 5 jours ouvrables","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""SURFACE"": ""460m2"", ""DUREE_ESTIMEE"": ""5 Jours Ouvrables""}"
électricité 150 m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""SURFACE"": ""150 m\u00b2""}"
"cloison : 240 m2 en parquet, coût estimé 25000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Parquet"", ""SURFACE"": ""240 m2"", ""BUDGET"": ""25000\u20ac""}"
"électricité 180 m², durée 5 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""SURFACE"": ""180 m\u00b2"", ""DUREE_ESTIMEE"": ""5 Jours""}"
"Nous proposons menuiserie 460 m², matériau pierre, avec aération","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""460 m\u00b2"", ""ACTIVITE_SPECIALE"": ""A\u00e9ration""}"
démolition 40 m² fibre de verre,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""MATERIAU"": ""Fibre De Verre"", ""SURFACE"": ""40 m\u00b2""}"
"carrelage 270m² en tuiles, incluant étanchéité, budget 55000€, équipe 4 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Carrelage"", ""MATERIAU"": ""Tuiles"", ""SURFACE"": ""270m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9"", ""BUDGET"": ""55000\u20ac"", ""NB_OUVRIERS"": ""4 personnes""}"
"électricité 380m², durée 5 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""SURFACE"": ""380m\u00b2"", ""DUREE_ESTIMEE"": ""5 Jours""}"
"chauffage 280 m2 parquet, équipe de petit groupe","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Chauffage"", ""MATERIAU"": ""Parquet"", ""SURFACE"": ""280 m2"", ""NB_OUVRIERS"": ""petit groupe""}"
chauffage 470m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Chauffage"", ""SURFACE"": ""470m\u00b2""}"
escalier 250m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Escalier"", ""SURFACE"": ""250m2""}"
démolition 310m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""SURFACE"": ""310m2""}"
"inox pour cloison (410m2), étanchéité requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Inox"", ""SURFACE"": ""410m2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9""}"
"électricité 40m2 béton poli, équipe de 3 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""MATERIAU"": ""B\u00e9ton Poli"", ""SURFACE"": ""40m2"", ""NB_OUVRIERS"": ""3 personnes""}"
peinture 260m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Peinture"", ""SURFACE"": ""260m2""}"
"Nous proposons peinture 30m², matériau béton poli, avec étanchéité","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""B\u00e9ton Poli"", ""SURFACE"": ""30m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9""}"
"maçonnerie : 370 m² en tuiles, coût estimé 30000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""MATERIAU"": ""Tuiles"", ""SURFACE"": ""370 m\u00b2"", ""BUDGET"": ""30000 euros""}"
gutter 230m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Gutter"", ""SURFACE"": ""230m\u00b2""}"
"isolation 430 m2 gypse, décontamination, budget 55000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""430 m2"", ""ACTIVITE_SPECIALE"": ""D\u00e9contamination"", ""BUDGET"": ""55000\u20ac""}"
chauffage 30m2 parquet,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Chauffage"", ""MATERIAU"": ""Parquet"", ""SURFACE"": ""30m2""}"
"fenêtres 270 m2 brique, ventilation, budget 50000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""270 m2"", ""ACTIVITE_SPECIALE"": ""Ventilation"", ""BUDGET"": ""50000 euros""}"
"plomberie 470 m², durée 2 semaines","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Plomberie"", ""SURFACE"": ""470 m\u00b2"", ""DUREE_ESTIMEE"": ""2 Semaines""}"
façade 170m2 brique,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Fa\u00e7ade"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""170m2""}"
"cloison 350 m2 inox, équipe de 4 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Inox"", ""SURFACE"": ""350 m2"", ""NB_OUVRIERS"": ""4 personnes""}"
"isolation : 160 m² en gypse, coût estimé 35000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""160 m\u00b2"", ""BUDGET"": ""35000\u20ac""}"
"carrelage 410 m2 cuivre, équipe de équipe de 3","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Carrelage"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""410 m2"", ""NB_OUVRIERS"": ""\u00e9quipe de 3""}"
"toiture 460m², étanchéité","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Toiture"", ""SURFACE"": ""460m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9""}"
"chauffage 90 m² en gypse, incluant décontamination, budget 30000€, équipe 4 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Chauffage"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""90 m\u00b2"", ""ACTIVITE_SPECIALE"": ""D\u00e9contamination"", ""BUDGET"": ""30000\u20ac"", ""NB_OUVRIERS"": ""4 personnes""}"
"béton poli pour électricité (140m²), ventilation requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""MATERIAU"": ""B\u00e9ton Poli"", ""SURFACE"": ""140m\u00b2"", ""ACTIVITE_SPECIALE"": ""Ventilation""}"
plomberie 480 m² zinc,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Zinc"", ""SURFACE"": ""480 m\u00b2""}"
isolation 110 m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Isolation"", ""SURFACE"": ""110 m\u00b2""}"
"piscine 240m2 en carrelage, incluant traitement humidité, budget 5000€, équipe grande équipe","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Piscine"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""240m2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9"", ""BUDGET"": ""5000\u20ac"", ""NB_OUVRIERS"": ""grande \u00e9quipe""}"
"béton : 120 m2 en gypse, coût estimé 10000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""120 m2"", ""BUDGET"": ""10000 euros""}"
"fenêtres 100 m2, durée 4 semaines","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""SURFACE"": ""100 m2"", ""DUREE_ESTIMEE"": ""4 Semaines""}"
"zinc pour démolition (40m2), mise aux normes requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""MATERIAU"": ""Zinc"", ""SURFACE"": ""40m2"", ""ACTIVITE_SPECIALE"": ""Mise Aux Normes""}"
"Nous proposons peinture 380m², matériau brique, avec étanchéité","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""380m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9""}"
"carrelage 250m², durée 2 mois","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Carrelage"", ""SURFACE"": ""250m\u00b2"", ""DUREE_ESTIMEE"": ""2 Mois""}"
fenêtres 290 m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""SURFACE"": ""290 m\u00b2""}"
"charpente 160m² en pierre, incluant étanchéité, budget 70000 euros, équipe 1 personne","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""160m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9"", ""BUDGET"": ""70000 euros"", ""NB_OUVRIERS"": ""1 personne""}"
"cloison 250 m² cuivre, chauffage, budget 70000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""250 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Chauffage"", ""BUDGET"": ""70000\u20ac""}"
"toiture 90m² carrelage, équipe de équipe de 3","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Toiture"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""90m\u00b2"", ""NB_OUVRIERS"": ""\u00e9quipe de 3""}"
"isolation 400 m2 en carrelage, incluant décontamination, budget 25000 euros, équipe 6 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""400 m2"", ""ACTIVITE_SPECIALE"": ""D\u00e9contamination"", ""BUDGET"": ""25000 euros"", ""NB_OUVRIERS"": ""6 personnes""}"
"carrelage 250m2 en aluminium, incluant traitement humidité, budget 45000 euros, équipe 3 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Carrelage"", ""MATERIAU"": ""Aluminium"", ""SURFACE"": ""250m2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9"", ""BUDGET"": ""45000 euros"", ""NB_OUVRIERS"": ""3 personnes""}"
"Nous proposons peinture 90 m2, matériau cuivre, avec étanchéité","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""90 m2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9""}"
menuiserie 210 m2 tuiles,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""MATERIAU"": ""Tuiles"", ""SURFACE"": ""210 m2""}"
"ardoise pour escalier (190 m²), chauffage requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Escalier"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""190 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Chauffage""}"
"toiture 280 m2, éclairage led","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Toiture"", ""SURFACE"": ""280 m2"", ""ACTIVITE_SPECIALE"": ""\u00c9clairage Led""}"
"béton 490 m² zinc, traitement humidité, budget 95000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""MATERIAU"": ""Zinc"", ""SURFACE"": ""490 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9"", ""BUDGET"": ""95000 euros""}"
"carrelage pour menuiserie (170m²), ventilation requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""170m\u00b2"", ""ACTIVITE_SPECIALE"": ""Ventilation""}"
fenêtres 320m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""SURFACE"": ""320m2""}"
revêtement 120 m2 pvc,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Rev\u00eatement"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""120 m2""}"
"bitume pour toiture (50m²), isolation thermique requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Toiture"", ""MATERIAU"": ""Bitume"", ""SURFACE"": ""50m\u00b2"", ""ACTIVITE_SPECIALE"": ""Isolation Thermique""}"
"charpente 120m2 cuivre, climatisation, budget 40000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""120m2"", ""ACTIVITE_SPECIALE"": ""Climatisation"", ""BUDGET"": ""40000\u20ac""}"
"chauffage 200m², durée 3 mois","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Chauffage"", ""SURFACE"": ""200m\u00b2"", ""DUREE_ESTIMEE"": ""3 Mois""}"
"maçonnerie 60m2 gypse, équipe de grande équipe","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""60m2"", ""NB_OUVRIERS"": ""grande \u00e9quipe""}"
façade 160m² ardoise,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Fa\u00e7ade"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""160m\u00b2""}"
"façade 160 m2, durée 5 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Fa\u00e7ade"", ""SURFACE"": ""160 m2"", ""DUREE_ESTIMEE"": ""5 Jours""}"
"isolation 150 m2 béton, équipe de 1 personne","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""B\u00e9ton"", ""SURFACE"": ""150 m2"", ""NB_OUVRIERS"": ""1 personne""}"
"électricité 430 m² carrelage, équipe de équipe de 3","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""430 m\u00b2"", ""NB_OUVRIERS"": ""\u00e9quipe de 3""}"
"escalier 320 m², durée 30 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Escalier"", ""SURFACE"": ""320 m\u00b2"", ""DUREE_ESTIMEE"": ""30 Jours""}"
"électricité 310 m², durée 3 semaines","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""SURFACE"": ""310 m\u00b2"", ""DUREE_ESTIMEE"": ""3 Semaines""}"
"fenêtres : 50m² en béton, coût estimé 65000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""MATERIAU"": ""B\u00e9ton"", ""SURFACE"": ""50m\u00b2"", ""BUDGET"": ""65000 euros""}"
charpente 160 m2 aluminium,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""Aluminium"", ""SURFACE"": ""160 m2""}"
"peinture 150m² en cuivre, incluant ventilation, budget 55000€, équipe 3 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""150m\u00b2"", ""ACTIVITE_SPECIALE"": ""Ventilation"", ""BUDGET"": ""55000\u20ac"", ""NB_OUVRIERS"": ""3 personnes""}"
"démolition 450m2 en inox, incluant éclairage led, budget 75000 euros, équipe 3 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""MATERIAU"": ""Inox"", ""SURFACE"": ""450m2"", ""ACTIVITE_SPECIALE"": ""\u00c9clairage Led"", ""BUDGET"": ""75000 euros"", ""NB_OUVRIERS"": ""3 personnes""}"
"pvc pour peinture (240m2), chauffage requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""240m2"", ""ACTIVITE_SPECIALE"": ""Chauffage""}"
"cloison 390 m², sécurité incendie","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Cloison"", ""SURFACE"": ""390 m\u00b2"", ""ACTIVITE_SPECIALE"": ""S\u00e9curit\u00e9 Incendie""}"
"peinture 20 m² en bois, incluant mise aux normes, budget 60000€, équipe 2 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""Bois"", ""SURFACE"": ""20 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Mise Aux Normes"", ""BUDGET"": ""60000\u20ac"", ""NB_OUVRIERS"": ""2 personnes""}"
béton 350 m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""SURFACE"": ""350 m2""}"
"escalier 130m², durée 5 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Escalier"", ""SURFACE"": ""130m\u00b2"", ""DUREE_ESTIMEE"": ""5 Jours""}"
